Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,sage.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.sage.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.sage.starbucks.com.txt
http,80,activesync.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.activesync.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.activesync.starbucks.com.txt
http,80,origin-www.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.origin-www.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.origin-www.starbucks.com.txt
http,80,retail.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.retail.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.retail.starbucks.com.txt
http,80,connect.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.connect.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.connect.starbucks.com.txt
http,80,summer.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.summer.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.summer.starbucks.com.txt
http,80,es.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.es.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.es.starbucks.com.txt
http,80,teams.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.teams.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.teams.starbucks.com.txt
http,80,ie.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ie.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ie.starbucks.com.txt
http,80,archive.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.archive.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.archive.starbucks.com.txt
http,80,prisma.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.prisma.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.prisma.starbucks.com.txt
http,80,developers.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.developers.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.developers.starbucks.com.txt
http,80,one.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.one.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.one.starbucks.com.txt
http,80,ocsp.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.crl.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ocsp.starbucks.com.txt
http,80,creative.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.creative.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.creative.starbucks.com.txt
http,80,ideas.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.ideas.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ideas.starbucks.com.txt
http,80,spc.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.spc.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.spc.starbucks.com.txt
http,80,ranger.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ranger.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ranger.starbucks.com.txt
http,80,ray.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ray.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ray.starbucks.com.txt
http,80,happyhour.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.happyhour.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.happyhour.starbucks.com.txt
http,80,insight.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.insight.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.insight.starbucks.com.txt
http,80,acme.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.acme.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.acme.starbucks.com.txt
http,80,intl.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.l.a.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.intl.starbucks.com.txt
http,80,ows.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ows.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ows.starbucks.com.txt
http,80,po1.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.po1.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.po1.starbucks.com.txt
http,80,www.me.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.www.me.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.me.starbucks.com.txt
http,80,spectrum.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.spectrum.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.spectrum.starbucks.com.txt
http,80,tea.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.tea.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.tea.starbucks.com.txt
http,80,www.mexico.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.www.mexico.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.mexico.starbucks.com.txt
http,80,tsc.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.tsc.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.tsc.starbucks.com.txt
http,80,connections.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.connections.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.connections.starbucks.com.txt
http,80,ipm.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ipm.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ipm.starbucks.com.txt
http,80,www.tea.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.www.tea.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.tea.starbucks.com.txt
http,80,dr-www.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.dr-www.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.dr-www.starbucks.com.txt
http,80,chd.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.chd.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.chd.starbucks.com.txt
http,80,itsm.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.itsm.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.itsm.starbucks.com.txt
http,80,www.cert.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.dev.sei.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.cert.starbucks.com.txt
http,80,apply.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.apply.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.apply.starbucks.com.txt
http,80,vcse1.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.vcse1.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.vcse1.starbucks.com.txt
http,80,stagewww.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.stagewww.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.stagewww.starbucks.com.txt
http,80,ews.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.activesync-iad.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ews.starbucks.com.txt
http,80,wwwb.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.wwwb.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.wwwb.starbucks.com.txt
http,80,fb1.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.fb1.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.fb1.starbucks.com.txt
http,80,hro.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.hro.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.hro.starbucks.com.txt
http,80,newstest.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.newstest.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.newstest.starbucks.com.txt
http,80,scmdev.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.scmdev.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.scmdev.starbucks.com.txt
