URL,80
certpospa1.starbucks.com,X,
secureui.starbucks.com,X,
digital.starbucks.com,X,
svcardproxyus.starbucks.com,X,
prodcdhapps.starbucks.com,X,
owa.starbucks.com,X,
win.mena.starbucks.com,X,
cloudapps.starbucks.com,X,
globalstage.starbucks.com,X,
wfmnapimct.starbucks.com,X,
stagefrenstore.starbucks.com,X,
storiesadmin.starbucks.com,X,
test1-iad.starbucks.com,X,
wfmnarptpc.starbucks.com,X,
wfmnapim.starbucks.com,X,
eapi-load.starbucks.com,X,
wfmnaposdv.starbucks.com,X,
stagededestore.starbucks.com,X,
workspace.starbucks.com,X,
oem-omcs.starbucks.com,X,
bi-dc-retail.starbucks.com,X,
sorry.starbucks.com,X,
testusen7store.starbucks.com,X,
departments.starbucks.com,X,
www.athome.starbucks.com,X,
historias.starbucks.com,X,
ocsp.starbucks.com,X,
dev.ucp.starbucks.com,X,
stagewcmsvcs.starbucks.com,X,
stageaten.starbucks.com,X,
storiesapi.starbucks.com,X,
test11.openapi.starbucks.com,X,
certcdhapps.starbucks.com,X,
test12.openapi.starbucks.com,X,
stories.starbucks.com,X,
dev.api.martech.starbucks.com,X,
mexico.starbucks.com,X,
sdlgreensecure.starbucks.com,X,
sbux-viz-dev.starbucks.com,X,
refer.starbucks.com,X,
mobility-us-az.starbucks.com,X,
test4www.starbucks.com,X,
jdsbeta.starbucks.com,X,
wfmnapay.starbucks.com,X,
reviews.starbucks.com,X,
trace-api-cert.starbucks.com,X,
spc.starbucks.com,X,
pi.spc.starbucks.com,X,
eapi-np.starbucks.com,X,
workspace-cert.starbucks.com,X,
trace-api-psdev.starbucks.com,X,
trace-systest.starbucks.com,X,
loadsecurepostback.openapi.starbucks.com,X,
produpgpospa2.starbucks.com,X,
autodiscover.starbucks.com,X,
dev.mfa.starbucks.com,X,
achecker.starbucks.com,X,
load.mfa.starbucks.com,X,
prodcrmpospa1-dr.starbucks.com,X,
test10.openapi.starbucks.com,X,
testweb.starbucks.com,X,
test18.openapi.starbucks.com,X,
sdrc.starbucks.com,X,
test3.openapi.starbucks.com,X,
test9.openapi.starbucks.com,X,
stageusenstore.starbucks.com,X,
ariba-asp-sd.starbucks.com,X,
bi-ri-dr.starbucks.com,X,
devedqapps.starbucks.com,X,
pro-asp-api-test.starbucks.com,X,
mobility-us-va.starbucks.com,X,
retailwebaccessemea.starbucks.com,X,
eapi-pd.starbucks.com,X,
d02-tm.productioncontroller.starbucks.com,X,
eapi-sd.starbucks.com,X,
ct.spc.starbucks.com,X,
id-dev.starbucks.com,X,
jssdev.starbucks.com,X,
txnmid-a-v9.starbucks.com,X,
cloudid.starbucks.com,X,
cdx-prod-api.starbucks.com,X,
blonde.starbucks.com,X,
cdx-pi.starbucks.com,X,
smreporting.starbucks.com,X,
sgsmdev.starbucks.com,X,
testsecurepostback.openapi.starbucks.com,X,
connectadmin.starbucks.com,X,
assets.scmtest.starbucks.com,X,
sco-asp-sd.starbucks.com,X,
wfmnapimpc.starbucks.com,X,
prod00.gifts.starbucks.com,X,
ct01.gifts.starbucks.com,X,
trace-api-dev.starbucks.com,X,
sts-vis-cloud1.starbucks.com,X,
assetshost.starbucks.com,X,
mobile.starbucks.com,X,
workspace-dev.starbucks.com,X,
load.sei.starbucks.com,X,
mock.sei.starbucks.com,X,
prod.sei.starbucks.com,X,
retailwebappschd.starbucks.com,X,
appcafe-iad.starbucks.com,X,
assets.starbucks.com,X,
securehost.openapi.starbucks.com,X,
digitalcontent-origin.starbucks.com,X,
eapi-ps.starbucks.com,X,
stage-digitalcontent-origin.starbucks.com,X,
t02.spc.starbucks.com,X,
p01-tm.productioncontroller.starbucks.com,X,
test.openapi.starbucks.com,X,
chdlyncedge01.starbucks.com,X,
gr.starbucks.com,X,
mobilecard.starbucks.com,X,
codeload.scm.starbucks.com,X,
blog.starbucks.com,X,
cappromo.starbucks.com,X,
eapi-scmariba-st.starbucks.com,X,
eapi-ss.starbucks.com,X,
stageglobalsecureui.starbucks.com,X,
globalassets.starbucks.com,X,
a.starbucks.com,X,
developers.starbucks.com,X,
test.ucp.starbucks.com,X,
teams.starbucks.com,X,
wfmnaptndv.starbucks.com,X,
digitalcart-cert.starbucks.com,X,
stars.starbucks.com,X,
datacafe-test.starbucks.com,X,
master.api.martech.starbucks.com,X,
d.ns.e.stories.starbucks.com,X,
awcm-cert.starbucks.com,X,
a.mx.a.starbucks.com,X,
microsite.starbucks.com,X,
redeemtweet.starbucks.com,X,
test2.openapi.starbucks.com,X,
preview.cert.starbucks.com,X,
ld01.gifts.starbucks.com,X,
p1-031157.e.starbucks.com,X,
wfmnapayct.starbucks.com,X,
wfmnapospc.starbucks.com,X,
trace-psdev.starbucks.com,X,
dev.sei.starbucks.com,X,
testuken.starbucks.com,X,
mysite.starbucks.com,X,
psl.starbucks.com,X,
outlook.starbucks.com,X,
origin-www.starbucks.com,X,
api.martech.starbucks.com,X,
mail.starbucks.com,X,
appcafe-cert.gtm.starbucks.com,X,
s03-1-ag.productioncontroller.starbucks.com,X,
l.e.starbucks.com,X,
wifiaccept.starbucks.com,X,
wfmnaptnps.starbucks.com,X,
scm.starbucks.com,X,
host.openapi.starbucks.com,X,
certltycrmapps-dr.starbucks.com,X,
ideas.starbucks.com,X,
mail-iad.starbucks.com,X,
globalwcmsvcs.starbucks.com,X,
scoapportal.starbucks.com,X,
p1-031159.e.starbucks.com,X,
morestars.starbucks.com,X,
activesync.starbucks.com,X,
x.e.starbucks.com,X,
p01-1-ag.productioncontroller.starbucks.com,X,
wfmnapayst.starbucks.com,X,
test4.openapi.starbucks.com,X,
connectadmintest.starbucks.com,X,
test19.openapi.starbucks.com,X,
corporateorders.starbucks.com,X,
certcrmpospa1-dr.starbucks.com,X,
t02-1-ag.productioncontroller.starbucks.com,X,
mail-kyn.starbucks.com,X,
mrs1.starbucks.com,X,
raw.scmtest.starbucks.com,X,
tea.starbucks.com,X,
cloudappsiad.starbucks.com,X,
ucpr.starbucks.com,X,
ldap.starbucks.com,X,
cashmgmt-prod.starbucks.com,X,
test20.openapi.starbucks.com,X,
testfederate.starbucks.com,X,
prodcrmasp-dr.starbucks.com,X,
pledge5.starbucks.com,X,
prodcrmapps-oid.starbucks.com,X,
search.starbucks.com,X,
via.starbucks.com,X,
acme.starbucks.com,X,
p1-201157.e.starbucks.com,X,
testglobalsecureui.starbucks.com,X,
red.starbucks.com,X,
cloudappschd.starbucks.com,X,
blogs.starbucks.com,X,
me.starbucks.com,X,
wfmnalcnps.starbucks.com,X,
suslab.starbucks.com,X,
p1-201156.e.starbucks.com,X,
achecker-iad.starbucks.com,X,
testhken.starbucks.com,X,
testczcs.starbucks.com,X,
retailwebappsiad.starbucks.com,X,
testcles.starbucks.com,X,
l.a.starbucks.com,X,
e.ns.a.starbucks.com,X,
ariba-asp-st.starbucks.com,X,
ordering-prod-a.starbucks.com,X,
loadfederate.starbucks.com,X,
testhost.openapi.starbucks.com,X,
www.me.starbucks.com,X,
stage.mfa.starbucks.com,X,
testruen.starbucks.com,X,
c.ns.a.starbucks.com,X,
p1-031156.e.starbucks.com,X,
mcdn.starbucks.com,X,
f.ns.a.starbucks.com,X,
mydaily.starbucks.com,X,
mobility3.starbucks.com,X,
ny7p01lppmta281.e.starbucks.com,X,
test16.openapi.starbucks.com,X,
stagesecureui-iad.starbucks.com,X,
spectrum-ct.starbucks.com,X,
remote.starbucks.com,X,
wfmnalcn.starbucks.com,X,
appcafe-cert.starbucks.com,X,
ct.ucpc.starbucks.com,X,
test6.openapi.starbucks.com,X,
scm-asp-sd.starbucks.com,X,
t02.productioncontroller.starbucks.com,X,
philippines.starbucks.com,X,
bits.starbucks.com,X,
ccm-help.starbucks.com,X,
d02.spc.starbucks.com,X,
stageukenstore.starbucks.com,X,
sso-group0.starbucks.com,X,
scm-asp-ct.starbucks.com,X,
testwcmsvcs.starbucks.com,X,
relay.starbucks.com,X,
sim.starbucks.com,X,
retail-training-videos.starbucks.com,X,
lstech-asp-pd.starbucks.com,X,
wfmnapimps.starbucks.com,X,
sgsmsupplier.starbucks.com,X,
stageconnect.starbucks.com,X,
sts-vis-cloud1-iad.starbucks.com,X,
mdpjs-westus.starbucks.com,X,
loadsecurepayment.starbucks.com,X,
sd-asp.starbucks.com,X,
wifi.starbucks.com,X,
w.a.starbucks.com,X,
wfmnaptn.starbucks.com,X,
a.ns.e.stories.starbucks.com,X,
retailwebaccessiad.starbucks.com,X,
main.mfa.starbucks.com,X,
cloudappsemea.starbucks.com,X,
mta835.e.starbucks.com,X,
stagefrfrstore.starbucks.com,X,
datacafe-dev.starbucks.com,X,
testcoes.starbucks.com,X,
prodbi.starbucks.com,X,
testcyel.starbucks.com,X,
cdx.starbucks.com,X,
testeses.starbucks.com,X,
prod00.mfa.starbucks.com,X,
retail-level-3.starbucks.com,X,
stable.api.martech.starbucks.com,X,
testcaen.starbucks.com,X,
testnonb.starbucks.com,X,
pd01.gifts.starbucks.com,X,
ld00.mfa.starbucks.com,X,
